Status,DT,Ent.DT,Trn DT,Due Date,Ref.No.,S-AC,S-AC Name,A/C Code,Unit,Unit Name,Doc.No.,REMARKS,Instruction No.,Cont.No.,Clrng doc.,Clrng DT,2nd Sub-Account,Items,Curr,Trans. Amt.,Dom. Amt.,Material Code,Tx,Quantity,Quantity Unit,rate,SAP DocEntry
SUCCESS,H1,20231222,20231222,20240131.0,R3B00921,B581,MARUBENI CORPORATION PACKAGING BUSINESS,30112,CJ12,FP2,100011814,3RB00908-09 920-21,,KOA CMP,,,,2,USD,"-1,284.32","-71,600.84",,5,0.0,,55.75,
SUCCESS,H1,20231222,20231222,20240131.0,PAN3A06,MZ320,MARUBENI ASEAN PTE. LTD.,30112,CA12,CHM2,100011816,PAN3A06 DEC2023,,LLDPE,,,,2,USD,-127.5,"-7,108.13",,5,0.0,,55.75,
SUCCESS,H1,20231222,20231222,20240131.0,3FHX0165,B7K4,MARUBENI CORPORATION INORGANIC CHEMICALS,30112,CA22,CHM12,100011817,3FHX0156 165 DEC2023,,M SULFUR,,,,2,USD,"-1,519.83","-84,730.52",,5,0.0,,55.75,
SUCCESS,H1,20231222,20231222,20240131.0,1039976,6D024,"COLUMBIA GRAIN INTERNATIONAL, LLC",30112,CF16,FOOD2B,100011812,1039976 M&T,,PEAS,,,,2,USD,-244.13,"-13,610.25",,5,0.0,,55.75,
SUCCESS,H1,20231227,20231227,,CANON 12M23,4Q04P,MCNK JV CORPORATION,33323,MB11,MAC2,100011836,CANON 12M2023,,CANON 12M23,,,,2,PHP,-558.66,-558.66,,5,0.0,,,
SUCCESS,H1,20231228,20231228,,THC/D,B581,MARUBENI CORPORATION PACKAGING BUSINESS,33323,CJ12,FP2,100011840,REIMBURSEMENT,,AL2447-1,,,,2,USD,"-1,430.96","-79,275.00",,5,0.0,,55.4,
SUCCESS,H1,20231228,20231228,,THC/D,B581,MARUBENI CORPORATION PACKAGING BUSINESS,33323,CJ12,FP2,100011841,REIMBURSEMENT,,AL2447-2,,,,2,USD,"-1,142.33","-63,285.00",,5,0.0,,55.4,
SUCCESS,H1,20231227,20231227,20231229.0,3KJ00043,B8C1,MARUBENI CORPORATION CONSTRUCTION & MINI,30112,MD15,MAC8,100011837,SALES_DEC_2023_B8C1,,23-Dec,,,,4,USD,"-1,568.52","-87,162.66",,5,0.0,,55.57,
SUCCESS,H1,20231227,20231227,20231229.0,3KJ00044,B8C1,MARUBENI CORPORATION CONSTRUCTION & MINI,30112,MD15,MAC8,100011837,SALES_DEC_2023_B8C1,,23-Dec,,,,5,USD,-297.81,"-16,549.30",,5,0.0,,55.57,
SUCCESS,H1,20231227,20231227,20231229.0,3KJ00045,B8C1,MARUBENI CORPORATION CONSTRUCTION & MINI,30112,MD15,MAC8,100011837,SALES_DEC_2023_B8C1,,23-Dec,,,,6,USD,"-4,037.83","-224,382.21",,5,0.0,,55.57,
SUCCESS,H1,20231228,20231228,,THC/D,B581,MARUBENI CORPORATION PACKAGING BUSINESS,33323,CJ12,FP2,100011840,REIMBURSEMENT,,AL2447-1,,,,2,USD,"-1,430.96","-79,275.00",,5,0.0,,55.4,
SUCCESS,H1,20231228,20231228,,THC/D,B581,MARUBENI CORPORATION PACKAGING BUSINESS,33323,CJ12,FP2,100011841,REIMBURSEMENT,,AL2447-2,,,,2,USD,"-1,142.33","-63,285.00",,5,0.0,,55.4,
